eyelib-test-fixation,2019-10-02T16:39:26
timestamp (ms),epoch (ms),target duration (ms),,,DT points,DT dmax,VT dmax
21278232,1570048766898,750,750,0,4,30,7
eye tracker,,target,,,raw gaze,,smoothed gaze,,fixation detection,,,,,fixation on object (ET)
timestamp (ms),tracking,x,y,active,x,y,x,y,ET,DT,dispersion,VT,displacement,target ID,fixation point error,count of fixations,sum duration (ms),average duration (ms),interval (ms)
238222156,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222173,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222189,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222206,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222223,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222239,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222256,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222273,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222289,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222306,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222322,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222339,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222356,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222372,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222389,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222406,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222422,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222443,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222456,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222473,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222489,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222506,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222522,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222539,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222556,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222572,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222589,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222606,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222622,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222639,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222655,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222672,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222689,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222705,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222722,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222739,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222755,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222772,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222789,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222805,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222822,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222839,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222855,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222872,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222888,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222906,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222922,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222941,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222955,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222972,false,0,0,false,0,0,0,0,false,false,0,false,0,
238222989,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223005,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223022,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223038,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223055,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223072,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223088,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223106,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223122,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223138,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223155,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223172,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223188,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223205,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223222,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223238,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223255,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223272,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223288,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223305,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223321,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223338,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223355,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223371,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223388,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223405,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223421,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223439,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223455,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223471,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223488,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223504,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223521,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223538,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223554,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223571,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223588,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223605,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223621,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223638,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223654,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223671,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223688,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223704,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223721,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223738,false,0,0,false,0,0,0,0,false,false,0,false,0,
238223754,true,0,0,false,947.408,672.42,947.408,672.42,false,false,0,false,0,
238223771,true,0,0,false,0,0,0,0,false,false,0,false,0,
238223788,true,0,0,false,383.861,607.442,383.861,607.442,false,false,0,false,567.28,
238223804,true,0,0,false,363.148,818.066,378.669,660.232,false,false,0,false,53.0452,
238223821,true,0,0,false,0,0,0,0,false,false,0,false,53.0452,
238223838,true,0,0,false,0,0,0,0,false,false,0,false,53.0452,
238223854,true,0,0,false,0,0,0,0,false,false,0,false,53.0452,
238223871,true,0,0,false,606.627,732.156,403.046,680.167,false,false,641.464,false,31.4901,
238223887,true,0,0,false,629.097,648.003,426.727,685.725,false,false,126.341,false,24.3246,
238223904,true,0,0,false,586.829,630.803,444.948,686.183,false,false,92.2293,false,18.2262,
238223921,true,0,0,false,537.565,728.219,457.418,686.014,false,false,60.3873,false,12.4708,
238223940,true,0,0,false,596.878,677.049,472.076,688.216,false,false,47.8394,false,14.8225,
238223954,true,0,0,false,499.711,498.529,480.412,680.524,false,false,43.1563,false,11.3431,
238223971,true,0,0,false,459.236,519.106,484.652,671.948,false,false,43.5029,false,9.56694,
238223987,true,0,0,false,473.58,537.984,487.191,663.739,false,false,39.593,false,8.59258,
238224004,true,0,0,false,475.405,524.145,488.713,655.821,false,false,33.0034,false,8.06255,
238224021,true,0,0,false,467.344,508.461,479.725,571.032,false,false,109.904,false,85.2639,
238224037,true,0,0,false,482.203,552.602,481.338,562.45,false,false,110.278,false,8.73323,
238224054,true,0,0,false,474.328,511.524,480.655,554.908,false,false,109.901,false,7.57207,
238224070,true,0,0,false,487.688,485.779,480.776,548.944,false,true,23.7022,true,5.96583,
238224087,true,0,0,false,471.061,510.353,480.39,544.876,false,true,27.77,true,4.08611,
