eyelib-datalog,2016-10-10T16:31:12
time_sync_ms,timestamp,time_ms,tracking.bits,tracking.gaze,tracking.eyes,tracking.user,tracking.fail,tracking.lost,fixation,raw_px.x,raw_px.y,avg_px.x,avg_px.y,pupil_left.center.x,pupil_left.center.y,pupil_left.size,pupil_right.center.x,pupil_right.center.y,pupil_right.size
28665204,2016-10-10 16:31:13.795,810207619,0x07,true,true,true,false,false,true,1102.02,526.441,1085.15,470.445,0.4434,0.4757,20.1187,0.5708,0.4678,20.8303
28665235,2016-10-10 16:31:13.828,810207652,0x07,true,true,true,false,false,true,1066.33,483.746,1079.39,470.301,0.4427,0.4752,19.2912,0.5707,0.4681,21.7249
28665267,2016-10-10 16:31:13.862,810207686,0x07,true,true,true,false,false,true,1083.84,373.658,1079.24,463.42,0.4428,0.4745,18.4206,0.5703,0.4678,20.9878
28665298,2016-10-10 16:31:13.895,810207719,0x07,true,true,true,false,false,true,1137.29,573.463,1085.13,459.496,0.4426,0.4758,20.1157,0.57,0.4682,21.7621
28665329,2016-10-10 16:31:13.928,810207752,0x07,true,true,true,false,false,true,1086.83,437.748,1085.75,457.953,0.4422,0.4753,18.855,0.5696,0.4678,21.0721
28665376,2016-10-10 16:31:13.962,810207786,0x07,true,true,true,false,false,true,1074.18,385.658,1085,456.274,0.4419,0.4752,18.8886,0.5695,0.4677,21.0594
28665407,2016-10-10 16:31:13.995,810207819,0x07,true,true,true,false,false,true,1097.74,449.147,1085.68,453.962,0.4415,0.4753,19.2831,0.5693,0.4682,22.1476
28665438,2016-10-10 16:31:14.028,810207852,0x07,true,true,true,false,false,true,1085.71,474.975,1081.38,454.537,0.4415,0.4756,19.4863,0.5689,0.468,22.1938
28665469,2016-10-10 16:31:14.062,810207886,0x07,true,true,true,false,false,true,1079.02,474.799,1081.74,454.914,0.4413,0.4756,19.9602,0.5688,0.4677,21.7722
28665501,2016-10-10 16:31:14.095,810207919,0x07,true,true,true,false,false,true,1105.77,470.247,1081.83,454.787,0.4412,0.4754,20.0183,0.5689,0.4677,22.0005
28665532,2016-10-10 16:31:14.128,810207952,0x07,true,true,true,false,false,true,1032.33,479.978,1076.75,455.779,0.4411,0.4755,19.345,0.5687,0.4679,21.9366
28665563,2016-10-10 16:31:14.162,810207986,0x07,true,true,true,false,false,true,1011.26,446.545,1075.99,455.523,0.4412,0.4758,20.1011,0.5688,0.4676,21.9223
28665610,2016-10-10 16:31:14.195,810208019,0x07,true,true,true,false,false,true,1084.88,462.292,1074.85,456.096,0.4414,0.4758,20.263,0.5691,0.4683,22.3369
28665641,2016-10-10 16:31:14.228,810208052,0x07,true,true,true,false,false,true,1071.95,472.246,1074.41,456.303,0.4414,0.4761,20.1019,0.5691,0.4683,22.3459
28665672,2016-10-10 16:31:14.261,810208085,0x07,true,true,true,false,false,true,1072.67,467.596,1073.98,456.975,0.4415,0.4762,20.1553,0.5691,0.4682,22.8739
28665703,2016-10-10 16:31:14.295,810208119,0x07,true,true,true,false,false,true,1087.76,519.871,1073.57,458.229,0.4417,0.4762,20.2423,0.5691,0.4683,23.2067
28665735,2016-10-10 16:31:14.328,810208152,0x07,true,true,true,false,false,true,1141.99,443.709,1074.5,458.431,0.4417,0.4759,20.3094,0.5695,0.4679,22.8318
28665766,2016-10-10 16:31:14.361,810208185,0x07,true,true,true,false,false,true,1080.1,497.243,1074.53,458.652,0.4415,0.4759,19.9795,0.5693,0.4682,22.5212
28665797,2016-10-10 16:31:14.395,810208219,0x07,true,true,true,false,false,true,1078.51,481.584,1073.58,459.381,0.4417,0.4759,20.6336,0.5692,0.4681,22.3198
28665828,2016-10-10 16:31:14.428,810208252,0x07,true,true,true,false,false,true,1076.94,484.083,1073.22,460.163,0.4415,0.4759,19.9711,0.5693,0.4683,22.6244
